"wavelength" "epsilon"
709.698996655518 -16.8730043766713+1.3287107902289i
712.040133779264 -17.1232008523437+1.3403760513562i
714.38127090301 -17.3700851268561+1.3519803882451i
716.722408026756 -17.6141251524645+1.3635594045912i
719.063545150502 -17.8557888814252+1.3751487040901i
721.404682274248 -18.0955442659945+1.3867838904373i
723.745819397993 -18.3338592584285+1.3985005673285i
726.086956521739 -18.5712018109836+1.4103343384593i
728.428093645485 -18.8080398759158+1.4223208075253i
730.769230769231 -19.0448238648637+1.4344937477764i
733.110367892977 -19.2817706722787+1.4468625638481i
735.451505016722 -19.5189311708816+1.4594193352295i
737.792642140468 -19.7563526862577+1.4721557712492i
740.133779264214 -19.9940825439921+1.4850635812361i
742.47491638796 -20.2321680696699+1.4981344745187i
744.816053511706 -20.4706565888763+1.511360160426i
747.157190635452 -20.7095954271966+1.5247323482865i
749.498327759197 -20.9490319102158+1.538242747429i
751.839464882943 -21.1890133635192+1.5518830671822i
754.180602006689 -21.4295871126919+1.565645016875i
756.521739130435 -21.6708004833192+1.5795203058359i
758.862876254181 -21.9127008009862+1.5935006433937i
761.204013377926 -22.155335391278+1.6075777388772i
763.545150501672 -22.3987515797799+1.6217433016151i
765.886287625418 -22.642996692077+1.6359890409361i
768.227424749164 -22.8881180537545+1.6503066661689i
770.56856187291 -23.1341629903977+1.6646878866423i
772.909698996656 -23.3811788275915+1.679124411685i
775.250836120401 -23.6292127385602+1.6936079585402i
777.591973244147 -23.8782549441173+1.7081332028889i
779.933110367893 -24.1281535968752+1.7227022002562i
782.274247491639 -24.3787350640266+1.7373181378281i
784.615384615385 -24.6298257127646+1.7519842027905i
786.95652173913 -24.8812519102819+1.7667035823293i
789.297658862876 -25.1328400237716+1.7814794636304i
791.638795986622 -25.3844164204266+1.7963150338796i
793.979933110368 -25.6358074674398+1.8112134802629i
796.321070234114 -25.8868395320039+1.8261779899663i
798.66220735786 -26.1373389813121+1.8412117501755i
801.003344481605 -26.3871321825572+1.8563179480766i
803.344481605351 -26.6360455029321+1.8714997708554i
805.685618729097 -26.8839053096296+1.8867604056978i
808.026755852843 -27.1305379698428+1.9021030397898i
810.367892976589 -27.3757698507646+1.9175308603172i
812.709030100335 -27.6194273195877+1.933047054466i
815.05016722408 -27.8613367435053+1.948654809422i
817.391304347826 -28.1013244897101+1.9643573123711i
